day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
187,2665957316.466019,43311402.705137044,8087214.923732799,41709883.94485352,34249066.96035722,0.0,0.0,0.0
188,2676886914.3859797,43937050.96430985,46784075.0,61827041.97242676,62301236.58457132,415.28185831752165,11377585.159384156,0.0
189,2706094705.5095897,44864456.59389625,23390567.5,42889980.98621338,44299306.55608642,0.0,0.0,0.0
190,2241595533.032302,41021360.64929982,130813560.25,133645510.4931067,148334638.12467173,20098.65323846025,550648033.9304178,0.0
191,1120731706.431579,43026043.30669642,279640491.84039116,281138052.84899557,317268423.70011294,50100.13762327656,1372606510.2267551,0.0
192,2008324962.7088628,47243114.09943136,79537823.560195,140531451.51173523,144907058.0017177,5515.06051388397,151097548.32558823,0.0
193,1700588788.529299,44626774.46216425,132535565.87026331,169221096.6206094,182803721.34690878,13592.216063684245,372389481.19682866,0.0
194,1968535922.651935,42702413.465256974,47670207.29774386,95319434.39668363,89947240.39965937,385.58946251282117,10564094.863364963,0.0
195,1948865765.713982,44132204.98120723,9981062.189323157,47659717.19834182,38435336.2361505,0.0,0.0,0.0
196,1930686134.1286604,44847100.73918236,5758040.0,28851540.00060556,26084125.88323219,0.0,0.0,0.0
197,1927596015.0766172,40795163.765273206,0.0,14364739.154519653,8771820.16264811,0.0,0.0,0.0
198,1971059038.2656107,41010634.852591,0.0,7111213.636825777,3990415.115672325,0.0,0.0,0.0
199,2065734418.6330702,41117303.05714339,2879020.0,6040198.650995947,4846619.2962765815,0.0,0.0,0.0
200,2102537098.371759,41207906.03690833,28070445.0,27591905.322806973,30826838.966724444,0.0,0.0,0.0
201,2092575073.7001786,41621784.616750434,4089461.1841450706,13783174.828015743,11637605.34920909,0.0,0.0,0.0
202,2066994933.52805,41828532.23917067,0.0,6869347.455225676,4612990.123863636,0.0,0.0,0.0
203,2097013913.7261143,41931572.45099906,0.0,3402566.490208618,2034651.7301749345,0.0,0.0,0.0
204,2131565879.1523898,41982610.94835219,0.0,1682530.5858050832,931349.4288425917,0.0,0.0,0.0
205,2178683185.0944276,42007848.907139264,719755.0,1454779.9870444909,1178834.922134716,0.0,0.0,0.0
206,2126805278.504448,42029670.60694493,0.0,712842.1936518005,428082.9524465646,0.0,0.0,0.0
207,2155213080.9834156,42040363.23984971,719755.0,979632.6748893822,938498.1938789828,0.0,0.0,0.0
208,2172341981.8780413,42055057.72997305,0.0,480020.0106957973,312197.1091547514,0.0,0.0,0.0
209,2202234661.578566,42062258.030133486,0.0,235209.80524094065,137892.97673204314,0.0,0.0,0.0
210,2265065636.3996143,42065786.1772121,0.0,115252.80456806092,63042.47657256562,0.0,0.0,0.0
211,2280588175.161337,42067514.969280615,0.0,56473.874238349854,29533.2889127165,0.0,0.0,0.0
212,2244638552.795247,42068362.07739419,0.0,27672.198376791428,14064.054184878889,0.0,0.0,0.0
213,2306181562.6440167,42068777.160369836,0.0,13559.377204627799,6769.209335884996,0.0,0.0,0.0
214,2300194373.895946,42068980.55102791,0.0,6644.094830267622,3280.2594101719505,0.0,0.0,0.0
215,2331479844.7269897,42069080.21245036,1439510.0,1263935.6064668312,1490366.1311616607,0.0,0.0,0.0
216,2363813264.1841965,42088039.24654736,0.0,619328.4471687473,444330.50548441673,0.0,0.0,0.0
217,2372980328.5997334,42097329.17325489,0.0,303470.9391126862,190370.26805192512,0.0,0.0,0.0
218,2472220444.2282295,42101881.23734158,0.0,148700.76016521623,85075.92745481155,0.0,0.0,0.0
219,2532226415.966666,42104111.74874406,0.0,72863.37248095595,39225.55328566814,0.0,0.0,0.0
220,2642035916.984398,42105204.699331276,3598775.0,3187403.0525156683,3740406.5257598204,0.0,0.0,0.0
