day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
41,5208816076.922545,41678105.54713958,1707661.72045267,8880715.333875434,7177131.95801551,0.0,0.0,0.0
42,5208813569.808394,41811316.27714771,2.3283064365386963e-10,4418269.000392136,2918472.8854933297,0.0,0.0,0.0
43,5208811062.694243,41877590.31215359,7197550.0,8511361.117094537,8747393.867881794,0.0,0.0,0.0
44,5208808555.580092,42005260.728910014,0.0,4238563.06033461,2845263.2020895686,0.0,0.0,0.0
45,5208806048.46594,42068839.17481504,0.0,2106645.4060879224,1258591.0573008272,0.0,0.0,0.0
46,5208803541.35179,42100438.85590635,3598775.0,4196918.702869653,4299915.981496237,0.0,0.0,0.0
47,5208801034.237639,42163392.6364494,0.0,2085577.3815194727,1392700.6532182808,0.0,0.0,0.0
48,5208798527.123488,42194676.29717219,719755.0,1659609.583265006,1357939.3348379289,0.0,0.0,0.0
49,5208796020.009336,42219570.440921165,0.0,813208.695799853,500689.323549249,0.0,0.0,0.0
50,5208793512.895186,42231768.57135816,0.0,398472.26094192796,225143.97838273115,0.0,0.0,0.0
51,5208791005.781035,42237745.65527229,719755.0,825591.4078615448,848647.312360618,0.0,0.0,0.0
52,5208788498.666883,42250129.52639021,0.0,404539.78985215694,271046.9419426267,0.0,0.0,0.0
53,5208785991.552732,42256197.62323799,0.0,198224.4970275569,118592.42421766429,0.0,0.0,0.0
54,5208783484.438581,42259170.990693405,2879020.0,2618490.0035435027,3031383.7146663885,0.0,0.0,0.0
55,5208780977.32443,42298448.34074656,719755.0,1918614.7676980325,1659120.9812178826,0.0,0.0,0.0
56,5208778470.210279,42327227.56226203,0.0,940121.2361720359,614911.1452087385,0.0,0.0,0.0
57,5208775963.096128,42341329.380804606,28790200.0,25683660.618086018,30051061.10347131,0.0,0.0,0.0
58,5208773455.981977,42726584.2900759,5028401.770186469,13462960.238809628,12015854.812025782,0.0,0.0,0.0
59,5208770948.867826,42928528.69365805,0.0,6705876.091810778,4623187.794879837,0.0,0.0,0.0
60,5208768441.753675,43029116.835035205,0.0,3326125.773661375,2024422.3673312496,0.0,0.0,0.0
61,5208765934.639524,43079008.721640125,0.0,1656631.6797793761,926841.7748246423,0.0,0.0,0.0
62,5208763427.525373,43103858.196836814,0.0,811749.5230918943,430711.1417390622,0.0,0.0,0.0
63,5208760920.411222,43116034.43968319,0.0,397757.26631502825,204016.06107463673,0.0,0.0,0.0
64,5208758413.297071,43122000.798677914,0.0,194901.06049436383,97858.15041332087,0.0,0.0,0.0
65,5208755906.1829195,43124924.31458533,0.0,95501.51964223827,47317.57784855189,0.0,0.0,0.0
66,5208753399.068769,43126356.83737996,0.0,46795.74462469675,22995.73838959782,0.0,0.0,0.0
67,5208750891.954618,43127058.77354933,0.0,22929.914866101408,11210.949384045152,0.0,0.0,0.0
68,5208748384.8404665,43127402.72227232,0.0,11235.65828438969,5476.276470124791,0.0,0.0,0.0
69,5208745877.7263155,43127571.25714659,0.0,5505.472559350948,2678.248851943947,0.0,0.0,0.0
70,5208743370.6121645,43127653.83923498,25191425.0,22064597.681554083,26054782.303951927,0.0,0.0,0.0
71,5208740863.4980135,43458622.80445829,3195533.354589805,10986436.784212893,9445331.746157615,0.0,0.0,0.0
72,5208738356.3838625,43623419.35622148,0.0,5460401.632862668,3723591.095953212,0.0,0.0,0.0
73,5208735849.2697115,43705325.380714424,0.0,2719886.121320524,1641733.6600448997,0.0,0.0,0.0
74,4994809488.492786,43746123.672534235,59019910.0,53047823.06066026,61795910.85178156,7808.220658691247,213923853.66277388,0.0
75,5134384009.924121,44541841.018444136,13348861.210646868,26483284.780080296,29904031.82571519,0.0,0.0,0.0
76,5135398490.249195,40484906.18830092,0.0,13200372.301173935,9516373.887196565,0.0,0.0,0.0
77,5136311269.776609,40682911.77281853,0.0,6561440.550137091,4116556.6631546514,0.0,0.0,0.0
78,5137132518.791504,40781333.381070584,0.0,3240418.7740026293,1851880.5042927237,0.0,0.0,0.0
79,5137871422.600644,40829939.662680626,24471670.0,23051769.387001317,26178971.372366074,0.0,0.0,0.0
80,5138536282.4486,41175716.203485645,18136124.085316375,24762770.81353165,25205040.353122167,0.0,0.0,0.0
81,5139134606.276014,41547157.76568862,1080061.6651828587,12336747.879499372,9078683.552450601,0.0,0.0,0.0
82,5139673190.336912,41732208.98388111,0.0,6124061.968599278,3844775.220779528,0.0,0.0,0.0
83,5140158192.590234,41824069.9134101,5758040.0,8097857.043435972,7699202.21586911,0.0,0.0,0.0
84,5140595198.689264,41945537.76906164,33108730.0,33034005.883573886,36854831.31847414,0.0,0.0,0.0
85,5140989281.310202,42441047.85731525,5569919.269813456,16470259.00126936,14280263.790004607,0.0,0.0,0.0
86,5141345053.486947,42688101.74233429,0.0,8217476.100854857,5594636.397740623,0.0,0.0,0.0
87,5141666716.552479,42811363.88384712,0.0,4071618.042129857,2457482.8970807856,0.0,0.0,0.0
88,5141958103.227083,42872438.154479064,1439510.0,3273752.89251584,2609934.596864524,0.0,0.0,0.0
89,5142222716.339641,42921544.447866805,0.0,1607517.998507959,967044.5624746626,0.0,0.0,0.0
90,5142463763.61955,42945657.21784443,7917305.0,7736334.543593254,8633711.75360222,0.0,0.0,0.0
91,5142684188.953033,43061702.235998325,10796325.0,13300545.277666401,13839410.809656052,0.0,0.0,0.0
92,5142886700.458186,43261210.41516332,0.0,6623333.673513754,4534528.236650525,0.0,0.0,0.0
93,5143073795.697645,43360560.42026603,0.0,3289077.082471369,1991865.8064975198,0.0,0.0,0.0
94,5143247784.315834,43409896.576503105,0.0,1611654.8656528238,900651.6362912913,0.0,0.0,0.0
95,5143410808.359016,43434071.3994879,0.0,789710.8841698837,418709.4867572951,0.0,0.0,0.0
96,5143564860.5105095,43445917.062750444,0.0,386958.333243243,198384.7040034433,0.0,0.0,0.0
97,5143711800.450156,43451721.437749095,0.0,189609.58328918906,95173.62160939784,0.0,0.0,0.0
98,5143853369.526213,43454565.58149844,30949465.0,27197528.6958117,32054575.309582915,0.0,0.0,0.0
99,5143991203.908922,43862528.511935614,6379449.036296438,14832185.49195677,13636155.149381526,0.0,0.0,0.0
100,5144126846.378139,44085011.294314966,719755.0,8018865.56811585,5894335.4044561125,0.0,0.0,0.0
101,5144261756.882022,44205294.2778367,42465545.0,41199492.78405792,46405214.181444064,0.0,0.0,0.0
102,5144397321.990162,44823286.66959757,9822773.73431272,21820579.1031888,24543414.95351548,0.0,0.0,0.0
103,5144534863.352057,40668266.68918565,0.0,10876317.536501957,7580031.44494056,0.0,0.0,0.0
104,5144675645.260774,40831411.45223318,7197550.0,11722359.783424716,10763549.726882119,0.0,0.0,0.0
105,5144820881.41159,41007246.848984554,8637060.0,13393043.726136224,12686872.776752409,0.0,0.0,0.0
106,5144971740.936428,41208142.5048766,0.0,6648023.181697318,4366159.213996101,0.0,0.0,0.0
107,5145129353.786711,41307862.85260206,0.0,3323651.4444195544,1954531.3418053545,0.0,0.0,0.0
108,4988991342.8162155,41357717.62426835,55421135.0,50198005.72220978,58226390.892650306,5705.076754055389,156303472.71384627,0.0
109,5088412399.152351,42110687.7101015,23102665.5,34554102.86110489,35064904.07284944,0.0,0.0,0.0
110,5089613324.317884,42628999.253018074,2575152.3101682626,17238027.83191552,13630169.38412723,0.0,0.0,0.0
111,5090723557.531989,42887569.67049681,0.0,8567346.94328821,5607323.41768083,0.0,0.0,0.0
112,5091754261.374873,43016079.87464613,0.0,4226623.023732771,2485560.211566208,0.0,0.0,0.0
113,5092715587.872008,43079479.22000212,0.0,2071045.281629058,1135151.3751068374,0.0,0.0,0.0
114,5093616781.911069,43110544.89922656,3598775.0,4166512.187998238,4253316.735234169,0.0,0.0,0.0
115,4609121368.92492,43173042.58204653,77733540.0,70159976.09399912,81775588.40280609,17715.08904332094,485344905.2964641,0.0
116,4939555087.091717,44225442.22345652,18960955.42704317,35037177.581637025,34358354.839780495,0.0,0.0,0.0
117,4941334962.031998,44750999.88718107,2807796.6281129513,18779268.790818512,19406078.00877536,0.0,0.0,0.0
118,4942983200.78011,40557588.93032525,0.0,9359807.519031605,6098751.112277764,0.0,0.0,0.0
119,4944515846.732236,40697986.04311072,0.0,4633231.365787911,2714890.5520713674,0.0,0.0,0.0
120,4945947531.93338,40767484.51359754,0.0,2270283.3692360767,1241419.4359787663,0.0,0.0,0.0
121,4947291625.402203,40801538.76413608,0.0,1112438.8509256777,581632.4432687345,0.0,0.0,0.0
122,4948560366.381822,40818225.34689997,0.0,546177.3989046778,277525.918639703,0.0,0.0,0.0
123,4949764984.027021,40826418.00788354,0.0,273088.6994523389,136236.98328566464,0.0,0.0,0.0
124,4950915804.887031,40830514.33837533,0.0,133813.46273164608,66036.21864023243,0.0,0.0,0.0
125,4952022349.407055,40832521.540316306,0.0,65568.59673850657,32141.776182790913,0.0,0.0,0.0
126,4953093418.549276,40833505.069267385,12235835.0,10748564.298369253,12670545.986738471,0.0,0.0,0.0
127,4954137171.523839,40994733.53374293,0.0,5307998.116144626,3797993.276938959,0.0,0.0,0.0
128,4955161195.521148,41074353.505485095,0.0,2600919.076910867,1628530.009484415,0.0,0.0,0.0
129,4956172568.24756,41113367.29163876,0.0,1274450.3476863247,728233.6957826609,0.0,0.0,0.0
